P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
RondoniaHeadwaters	Rondonia	Tapajos	0.00196749	0.371564	0.710218	0.0544064	794.086	787.694	784.6
TapajosHeadwaters	RondoniaHeadwaters	Rondonia	0.00434608	0.687599	0.491705	0.204655	731.956	691.499	685.514
RondoniaHeadwaters	Rondonia	XinguBelemC	0.00637172	1.05635	0.29081	0.0212308	799.973	780.582	770.698
RondoniaHeadwaters	Rondonia	XinguBelemN	0.00561305	0.957539	0.338295	0.0142713	783.686	761.667	753.164
TapajosHeadwaters	Tapajos	Rondonia	0.000293059	0.0623038	0.950321	0.013657	691.443	690.155	689.751
XinguBelemC	Tapajos	Rondonia	0.00820553	1.55301	0.120421	0.282289	815.654	768.609	756.098
XinguBelemN	Tapajos	Rondonia	0.00971824	1.73495	0.0827491	0.328504	793.545	760.127	745.495
TapajosHeadwaters	Rondonia	XinguBelemC	0.00585785	0.799275	0.424131	0.0186579	695.146	681.089	673.156
TapajosHeadwaters	Rondonia	XinguBelemN	0.00377169	0.591999	0.553851	0.00894624	678.231	666.874	661.863
XinguBelemN	XinguBelemC	Rondonia	0.00272908	0.370848	0.710751	0.0969959	844.989	737.523	733.508
RondoniaHeadwaters	TapajosHeadwaters	Tapajos	0.00194036	0.346376	0.72906	0.053639	737.724	692.734	690.051
XinguBelemC	Tapajos	RondoniaHeadwaters	0.0128898	1.98709	0.0469119	0.0204003	830.337	780.516	760.651
XinguBelemN	Tapajos	RondoniaHeadwaters	0.0127768	1.80202	0.0715419	0.02022	804.84	767.834	748.461
TapajosHeadwaters	RondoniaHeadwaters	XinguBelemC	0.000186034	0.0245835	0.980387	0.000587881	744.52	675.779	675.528
TapajosHeadwaters	RondoniaHeadwaters	XinguBelemN	0.00057144	0.0682391	0.945595	0.00146415	720.435	659.651	658.898
XinguBelemN	XinguBelemC	RondoniaHeadwaters	0.000585734	0.0682571	0.945581	0.000938939	859.22	740.661	739.794
XinguBelemC	Tapajos	TapajosHeadwaters	0.0175208	2.36261	0.0181468	0.0217365	727.112	688.323	664.619
XinguBelemN	Tapajos	TapajosHeadwaters	0.0127865	1.5884	0.112196	0.0165161	706.984	674.642	657.608
XinguBelemN	XinguBelemC	Tapajos	0.0086726	1.22696	0.219838	1.28613	821.771	771.686	758.416
XinguBelemC	XinguBelemN	TapajosHeadwaters	0.00395142	0.408466	0.682931	0.00462697	753.196	648.858	643.75
